nconst	primaryName
nm0000005	Ingmar Bergman
nm0000019	Federico Fellini
nm0000033	Alfred Hitchcock
nm0000040	Stanley Kubrick
nm0000041	Akira Kurosawa
nm0000076	François Truffaut
nm0000080	Orson Welles
nm0000088	Aleksey Korenev
nm0000108	Luc Besson
nm0000114	Steve Buscemi
nm0000116	James Cameron
nm0000118	John Carpenter
nm0000122	Charles Chaplin
nm0000141	David Duchovny
nm0000149	Jodie Foster
nm0000154	Mel Gibson
nm0000158	Tom Hanks
nm0000165	Ron Howard
nm0000166	Helen Hunt
nm0000180	David Lean
nm0000184	George Lucas
nm0000229	Steven Spielberg
nm0000231	Oliver Stone
nm0000233	Quentin Tarantino
nm0000243	Denzel Washington
nm0000257	Alan Alda
nm0000276	Sean Astin
nm0000291	Angela Bassett
nm0000318	Tim Burton
nm0000320	Luis Buñuel
nm0000338	Francis Ford Coppola
nm0000361	Brian De Palma
nm0000373	Michael Dorn
nm0000406	John Ford
nm0000408	Jonathan Frakes
nm0000436	Curtis Hanson
nm0000466	Jean-Pierre Jeunet
nm0000484	John Landis
nm0000485	Fritz Lang
nm0000490	Spike Lee
nm0000500	Richard Linklater
nm0000513	William H. Macy
nm0000520	Michael Mann
nm0000536	Robert Duncan McNeill
nm0000570	Alan Parker
nm0000576	Sean Penn
nm0000581	Joseph L. Mankiewicz
nm0000583	Wolfgang Petersen
nm0000591	Roman Polanski
nm0000600	Sam Raimi
nm0000601	Harold Ramis
nm0000630	Liev Schreiber
nm0000631	Ridley Scott
nm0000655	Eric Stoltz
nm0000693	Peter Weller
nm0000694	Wim Wenders
nm0000697	Billy Wilder
nm0000705	Robin Wright
nm0000709	Robert Zemeckis
nm0000736	Robert Aldrich
nm0000739	Debbie Allen
nm0000750	Jon Amiel
nm0000759	Paul Thomas Anderson
nm0000774	Michelangelo Antonioni
nm0000777	Gregg Araki
nm0000814	John G. Avildsen
nm0000816	Jon Avnet
nm0000824	John Badham
nm0000867	Jason Bateman
nm0000870	Kathy Bates
nm0000905	Roberto Benigni
nm0000913	Robby Benson
nm0000953	Peter Bogdanovich
nm0000965	Danny Boyle
nm0000975	Robert Bresson
nm0000984	Avery Brooks
nm0000996	LeVar Burton
nm0001008	Frank Capra
nm0001047	Michael Cimino
nm0001070	Bill Cosby
nm0001081	Cameron Crowe
nm0001104	Frank Darabont
nm0001120	Vittorio De Sica
nm0001129	Jonathan Demme
nm0001149	Richard Donner
nm0001165	Charles S. Dutton
nm0001202	Rainer Werner Fassbinder
nm0001214	Mike Figgis
nm0001226	James Foley
nm0001232	Milos Forman
nm0001262	Ben Gazzara
nm0001274	Paul Michael Glaser
nm0001282	Tony Goldwyn
nm0001293	Seth Green
nm0001345	Jim Henson
nm0001348	Werner Herzog
nm0001351	George Roy Hill
nm0001353	Walter Hill
nm0001379	John Huston
nm0001392	Peter Jackson
nm0001408	Shekhar Kapur
nm0001415	Elia Kazan
nm0001425	Krzysztof Kieslowski
nm0001437	Emir Kusturica
nm0001438	Neil LaBute
nm0001446	Michael Landon
nm0001466	Sergio Leone
nm0001467	Jared Leto
nm0001486	Sidney Lumet
nm0001532	John McTiernan
nm0001554	Errol Morris
nm0001566	Mike Nichols
nm0001601	David Paymer
nm0001617	Lou Diamond Phillips
nm0001645	Serge Ladouceur
nm0001661	Rob Reiner
nm0001708	Joel Schumacher
nm0001710	David Schwimmer
nm0001726	Helen Shaver
nm0001741	Bryan Singer
nm0001752	Steven Soderbergh
nm0001770	Fisher Stevens
nm0001814	Gus Van Sant
nm0001837	Peter Weir
nm0001873	Steven Zaillian
nm0001874	Franco Zeffirelli
nm0002020	Costa-Gavras
nm0002031	Michael Curtiz
nm0002083	Carl Franklin
nm0002140	Agnieszka Holland
nm0002156	Tengiz Abuladze
nm0002160	Moustapha Akkad
nm0002190	Anthony Asquith
nm0002224	James Moll
nm0002233	Erich von Stroheim
nm0002377	Stephen Semel
nm0002399	Alik Sakharov
nm0002413	David Jackson
nm0002723	Renny Rye
nm0002726	Roger Young
nm0002728	Juan José Campanella
nm0002887	Alan Myerson
nm0002948	Costas Ferris
nm0002973	Lev L. Spiro
nm0003021	Chris McKay
nm0003022	Lee Rose
nm0003080	Rachel Talalay
nm0003150	Michael Katleman
nm0003163	Tucker Gates
nm0003167	Jace Alexander
nm0003226	Kenji Mizoguchi
nm0003398	Loni Peristere
nm0003403	Timothy Bond
nm0003408	Chris Marker
nm0003418	Rob Cohen
nm0003433	Carl Theodor Dreyer
nm0003447	Whitney Ransick
nm0003474	Troy Miller
nm0003482	Nash Edgerton
nm0003506	James Mangold
nm0003557	Richard J. Lewis
nm0003620	Kevin Smith
nm0003638	F.W. Murnau
nm0003697	Florian Henckel von Donnersmarck
nm0003733	Daniel Attias
nm0003802	Uta Briesewitz
nm0003880	Sam Hill
nm0003922	Michael Goi
nm0004105	Jay Sandrich
nm0004111	Mark Frost
nm0004152	Roel Reiné
nm0004223	Philip Sgriccia
nm0004234	Alfonso Gomez-Rejon
nm0004257	James R. Bagdonas
nm0004306	George Miller
nm0004517	Jason Alexander
nm0004554	Ben Hernandez Bray
nm0004555	Walter Murch
nm0004596	Steve Binder
nm0004627	Michael Lange
nm0004675	Phil Alden Robinson
nm0004678	Paul Maibaum
nm0004716	Darren Aronofsky
nm0004770	David Boreanaz
nm0004801	Nestor Carbonell
nm0004810	Chris Carter
nm0004883	Tate Donovan
nm0004959	Thomas Gibson
nm0005008	Brian Henson
nm0005022	Peter Horton
nm0005062	Chuck Jones
nm0005069	Spike Jonze
nm0005088	Joanna Kerns
nm0005093	Regina King
nm0005113	Eriq La Salle
nm0005116	Mary Lambert
nm0005124	John Lasseter
nm0005165	Chad Lowe
nm0005169	Natasha Lyonne
nm0005204	Paul McCrane
nm0005222	Sam Mendes
nm0005299	Sarah Paulson
nm0005316	Mary Kay Place
nm0005344	Joe Regalbuto
nm0005363	Guy Ritchie
nm0005390	Patricia Rozema
nm0005436	John Singleton
nm0005522	Mario Van Peebles
nm0005875	Newton Thomas Sigel
nm0006249	Satyajit Ray
nm0006371	Mehboob Khan
nm0006452	Stanley Kramer
nm0006487	Jim Sheridan
nm0006498	Majid Majidi
nm0006554	Rodrigo García
nm0006624	Bill Anderson
nm0006687	Jim Ramos Vickers
nm0006703	Zeki Ökten
nm0006837	Bill Melendez
nm0006919	Roger Christiansen
nm0006960	John Madden
nm0007096	Wendey Stanzler
nm0007181	Yash Chopra
nm0007439	Douglas Aarniokoski
nm0008150	Daoud Abdel Sayed
nm0008157	Ali Abdel-Khalek
nm0008408	Hisham Abed
nm0009190	J.J. Abrams
nm0010075	Jensen Ackles
nm0011876	Steven A. Adelson
nm0012682	Neil Affleck
nm0013878	Joe Ahearne
nm0014152	Humayun Ahmed
nm0015295	Zoya Akhtar
nm0015570	Orhan Aksoy
nm0020502	Eric Allen Bell
nm0021592	Michael A. Allowitz
nm0021772	Mairzee Almas
nm0021899	Michael Almereyda
nm0022412	Jon Alpert
nm0022828	Kevin Altieri
nm0023207	José Alvarenga Jr.
nm0023551	Abrar Alvi
nm0023761	Gilles Amado
nm0024912	Shimit Amin
nm0025127	John Amodeo
nm0025629	Vijay Anand
nm0025805	Rajiv Anchal
nm0025978	Allison Anders
nm0027051	Lance Anderson
nm0027413	Sarah Pia Anderson
nm0027572	Wes Anderson
nm0027974	Ivan Andonov
nm0027975	Metodi Andonov
nm0028226	George Andreas
nm0028270	Raffaele Andreassi
nm0028542	Tim Andrew
nm0028968	Radivoje Andric
nm0030735	Nimród Antal
nm0030791	Sathyan Anthikad
nm0031835	Yasunao Aoki
nm0031976	Judd Apatow
nm0035243	Andi Armaganian
nm0036349	Andrea Arnold
nm0036496	Jennifer Arnold
nm0037136	Guel Arraes
nm0037546	Pavel Arsyonov
nm0037708	Miguel Arteta
nm0039339	K. Asif
nm0041161	Philip G. Atwell
nm0044524	Mario Azzopardi
nm0045024	Temur Babluani
nm0045610	Frédéric Back
nm0045880	Péter Bacsó
nm0046172	Reza Badiyi
nm0046452	Carlos Baeza
nm0047425	Norma Bailey
nm0047971	Natuk Baytan
nm0048932	Simon Baker
nm0049335	K. Balachander
nm0050853	Erik Balling
nm0051166	Ali Taner Baltaci
nm0051466	James Bamford
nm0052059	Carol Banker
nm0052737	Amir Bar-Lev
nm0052897	Hinri Barakat
nm0053157	Norberto Barba
nm0054374	Richard L. Bare
nm0054402	Stanislaw Bareja
nm0054659	Alan Barillaro
nm0054677	Albert Barillé
nm0055194	Cory Barlog
nm0057106	David Barrett
nm0059493	Hal Barwood
nm0059556	Paolo Barzman
nm0059633	Tunç Basaran
nm0060230	Peter Bassett
nm0063279	Edward Bazalgette
nm0064593	Gabrielle Beaumont
nm0065442	Jacques Becker
nm0066218	Guy Norman Bee
nm0066582	Mark Beesley
nm0066584	Matt Earl Beesley
nm0066596	Charles Beeson
nm0066736	Morgan Beggs
nm0067090	John Behring
nm0068272	Jeffrey Bell
nm0068338	Kristen Bell
nm0068385	Martin Bell
nm0069074	Donald P. Bellisario
nm0069513	Laura Belsey
nm0069797	Edet Belzberg
nm0070594	Malik Bendjelloul
nm0071734	Edward Bennett
nm0075669	Robert Berlinger
nm0075724	Andy Berman
nm0076227	Gene Bernard
nm0076368	Raymond Bernard
nm0076558	Stéphane Bernasconi
nm0076997	Andrew Bernstein
nm0080107	Giannis Bezos
nm0080143	Bhadran
nm0080220	Sanjay Leela Bhansali
nm0080235	Vishal Bhardwaj
nm0080245	Bharathan
nm0080248	Santhana Bharathi
nm0080278	Vijay K. Bhaskar
nm0080315	Mahesh Bhatt
nm0080409	Deven Bhojani
nm0080601	Ed Bianchi
nm0080867	Abner Biberman
nm0081540	Susanne Bier
nm0082450	Paul Feig
nm0082802	Mike Binder
nm0083348	Brad Bird
nm0088121	Jeff Bleckner
nm0088372	Hugo Blick
nm0088971	Alan C. Blomquist
nm0089176	Jason Bloom
nm0089885	Michael C. Blundell
nm0090877	Richard Boden
nm0094083	Sergey Bondarchuk
nm0094288	Peter Bonerz
nm0094397	Michael Bonfiglio
nm0094435	Bong Joon Ho
nm0097541	Vladimir Bortko
nm0097899	Satyen Bose
nm0098400	Rick Bota
nm0099474	Chris Bould
nm0099552	Tassos Boulmetis
nm0100522	Laurent Bouzereau
nm0101304	Chuck Bowman
nm0101741	David Boyd
nm0101908	Sarah Boyd
nm0102434	Steve Boyum
nm0103785	Zach Braff
nm0104851	Charlotte Brändström
nm0106230	Kevin Bray
nm0106368	Scott Brazil
nm0109273	Dominic Brigstocke
nm0111391	Henry Bronchtein
nm0112253	Stanley M. Brooks
nm0113596	Garry A. Brown
nm0115751	Martin Bruestle
nm0116497	John Bruno
nm0116714	Steven Sprung
nm0118530	Marc Buckland
nm0118665	Norman Buckley
nm0118778	Colin Bucksey
nm0120576	Mark Bunting
nm0120983	Brigitte Burdine
nm0122140	Mark A. Burley
nm0123273	James Burrows
nm0124079	Timothy Busfield
nm0124571	Juan Bustillo Oro
nm0124991	Joshua Butler
nm0125904	Leonid Bykov
nm0127373	Louis C.K.
nm0130549	Marty Callner
nm0131700	Paul Cameron
nm0132671	Lisa Demaine
nm0133426	Mario Camus
nm0134176	Danny Cannon
nm0135529	Heather Cappiello
nm0135653	Ivo Caprino
nm0135864	Michael Caracciolo
nm0135952	Nae Caranfil
nm0136797	Steve Carell
nm0138620	Joe Carnahan
nm0138706	Charles Robert Carner
nm0138809	John Carney
nm0138893	Marcel Carné
nm0138927	Niki Caro
nm0139081	Benjamin Caron
nm0140764	Charles S. Carroll
nm0141222	David Carson
nm0141961	Thomas Carter
nm0146915	Tom Cavanagh
nm0148180	Jennifer Celotta
nm0148247	Martin Cendreda
nm0148252	Mark Cendrowski
nm0149134	Sinan Çetin
nm0149196	Nuri Bilge Ceylan
nm0149631	Youssef Chahine
nm0149803	Peter Chakos
nm0150024	Chip Chalmers
nm0151066	Peter Ho-Sun Chan
nm0151540	Jay Chandrasekhar
nm0151754	Kun Chang
nm0152650	Alex Chapple
nm0153078	Larry Charles
nm0153552	Rodney Charters
nm0153740	David Chase
nm0154079	Pete Chatmon
nm0154113	Basu Chatterjee
nm0154819	Jeremiah S. Chechik
nm0155117	Lee Shallat Chemel
nm0155280	Kaige Chen
nm0155855	David Cherkasskiy
nm0156013	Tom Cherones
nm0156838	Milan Cheylov
nm0157670	Colin Chilvers
nm0158054	Philip Chipera
nm0158523	Rezo Chkheidze
nm0158755	Dean Choe
nm0158966	Lisa Cholodenko
nm0159147	Aditya Chopra
nm0160666	Ivaylo Hristov
nm0161055	Grigoriy Chukhray
nm0161078	Christopher Chulack
nm0162979	Liviu Ciulei
nm0163988	Clark Gregg
nm0164407	Richard Clark
nm0165493	William F. Claxton
nm0166625	Graeme Clifford
nm0167241	Henri-Georges Clouzot
nm0167496	René Clément
nm0168988	Franklin Cofod
nm0169806	Taika Waititi
nm0170225	Nicholas Colasanto
nm0171197	Rob Coleman
nm0171315	John David Coles
nm0171348	Robert F. Colesberry
nm0171443	Nesli Çölgeçen
nm0172557	Misha Collins
nm0172733	Valeria Migliassi Collins
nm0175428	Kevin Connor
nm0176448	James A. Contner
nm0176702	James L. Conway
nm0178944	Nick Copus
nm0179697	Ericson Core
nm0180085	Rob Corn
nm0180891	Charles Correll
nm0184108	Mark Cousins
nm0184202	Eduardo Coutinho
nm0184729	Mark Cowen
nm0186505	Bryan Cranston
nm0188775	Kelly Cronin
nm0188871	Mackenzie Crook
nm0188929	Anton Cropper
nm0190597	Alexandra La Roche
nm0191147	Michael Cuesta
nm0193231	Adam Curtis
nm0193303	Dan Curtis
nm0193554	Vondie Curtis-Hall
nm0193681	Carlton Cuse
nm0193738	Henry Ian Cusick
nm0194299	Kellie Cyrus
nm0197636	Stephen Daldry
nm0197700	Holly Dale
nm0197703	J. Miles Dale
nm0198395	Robert Dalva
nm0198765	Damiano Damiani
nm0198991	Mel Damski
nm0199381	Georgiy Daneliya
nm0199948	Greg Daniels
nm0200380	Brian Dannelly
nm0200436	Cosima Dannoritzer
nm0201187	Attila Dargay
nm0202088	Jules Dassin
nm0203215	Adam Davidson
nm0204466	DeMane Davis
nm0204970	Kenneth Ian Davis
nm0205282	Peter Davis
nm0205749	Peter Davison
nm0205803	Mo Davoudian
nm0206816	Akitarô Daichi
nm0211523	Jean de Segonzac
nm0212027	Dana De Vally Piazza
nm0214320	Andy De Emmony
nm0214850	Neil DeGroot
nm0215299	Steven S. DeKnight
nm0218547	Zeki Demirkubuz
nm0219491	Kate Dennis
nm0221042	Caleb Deschanel
nm0221423	Brian Desmond Hurst
nm0222043	Howard Deutch
nm0224145	Denise Di Novi
nm0227139	John Dilworth
nm0227781	Michael Dinner
nm0229210	Aleksandar Djordjevic
nm0229260	Milo Djukanovic
nm0229694	David Dobkin
nm0230859	Xavier Dolan
nm0231596	Andrew Dominik
nm0233370	Gregory Doran
nm0233608	Alejandro Doria
nm0235799	Brett Dowler
nm0235852	Kevin Dowling
nm0236173	Dermott Downs
nm0236664	Mircea Dragan
nm0236729	Srdjan Dragojevic
nm0237208	Ljubomir Draskic
nm0238621	David Drury
nm0239063	Anselmo Duarte
nm0239287	Adam Dubin
nm0239298	Jay Dubin
nm0242271	Duwayne Dunham
nm0242658	Kevin Dunn
nm0244870	Guru Dutt
nm0247123	Bill Eagles
nm0247159	John Ealer
nm0247621	Allan Eastman
nm0249421	Ben Edlund
nm0250267	Paul A. Edwards
nm0250510	Jan Eelen
nm0251027	Ertem Egilmez
nm0251032	Eagle Egilsson
nm0251848	Randall Einhorn
nm0252135	Breck Eisner
nm0253531	Jan Eliasberg
nm0254178	Adam Elliot
nm0255028	Peter Ellis
nm0255081	Scott Ellis
nm0255334	Alison Ellwood
nm0256350	Ted Emery
nm0257992	Robert Enrico
nm0258066	Félix Enríquez Alcalá
nm0258405	Sheldon Epps
nm0258531	Rob Epstein
nm0258784	Yilmaz Erdogan
nm0258901	Mahinur Ergun
nm0259499	Metin Erksan
nm0259589	John Erman
nm0259847	James Erskine
nm0262210	Lukas Ettlin
nm0262678	David Evans
nm0263919	Scott Ewers
nm0264236	Richard Eyre
nm0265422	Kevin Fair
nm0265954	Ellen Gittelsohn
nm0266622	Rick Famuyiwa
nm0267244	Josef Fares
nm0267497	Julian Farino
nm0268380	Peter Farrelly
nm0269168	Christian Faure
nm0269463	Jon Favreau
nm0269502	John Fawcett
nm0269778	Fazil
nm0270990	Arne Feldhusen
nm0276317	Michael Fields
nm0277830	Kenneth Fink
nm0280541	Jim Fitzpatrick
nm0281598	Andrew Fleming
nm0283816	Anna Foerster
nm0284308	Sheree Folkson
nm0286715	Brent Forrester
nm0287933	Lilibet Foster
nm0288144	Alastair Fothergill
nm0289186	Paul Fox
nm0291082	Scott Frank
nm0291692	Steve Franks
nm0291808	Angelos Frantzis
nm0292419	James Frawley
nm0292468	David Frazee
nm0293989	Friz Freleng
nm0294457	Thor Freudenthal
nm0294505	Bart Freundlich
nm0294758	Martin Fric
nm0294825	Ron Fricke
nm0295107	Liz Friedlander
nm0295272	Kim Friedman
nm0296025	Ernie Fritz
nm0296360	Friedemann Fromm
nm0296945	Pamela Fryman
nm0297489	Zetna Fuentes
nm0298807	Antoine Fuqua
nm0299134	Jorge Furtado
nm0299173	Kazuhiro Furuhashi
nm0299236	David Fury
nm0299586	Zoltán Fábri
nm0301145	Leonid Gaidai
nm0302087	Eduard Galic
nm0302411	John Gallagher
nm0304091	Nisha Ganatra
nm0304098	Abel Gance
nm0304681	Alvin Ganzer
nm0305423	Ruben Garcia
nm0305557	Luis García Berlanga
nm0307497	Alex Garland
nm0307727	Kenneth Garner
nm0308376	Mick Garris
nm0309697	Tony Gatlif
nm0310449	Roberto Gavaldón
nm0311454	David Geddes
nm0313623	Terry George
nm0313745	Vasilis Georgiadis
nm0314230	William Gereghty
nm0314584	Pietro Germi
nm0314641	Christine Gernon
nm0314840	Michael Gershman
nm0315298	Jennifer Getzinger
nm0315384	Eric 'Giz' Gewirtz
nm0315842	Bahman Ghobadi
nm0317021	Jeffrey Lee Gibson
nm0317080	Laurieann Gibson
nm0317328	Coky Giedroyc
nm0317382	Billy Gierhart
nm0319328	Andrew Gillman
nm0319412	Vern Gillum
nm0320285	Marco Tullio Giordana
nm0320588	Bob Giraldi
nm0321922	Dan Glass
nm0322106	Jonathan Glassner
nm0322467	Tom Gleisner
nm0323758	Andy Goddard
nm0325128	Sandra Goldbacher
nm0325780	Gary B. Goldman
nm0325845	Mark Goldman
nm0326040	Akiva Goldsman
nm0326500	Kresimir Golik
nm0327064	Nick Gomez
nm0327273	Michel Gondry
nm0327944	Alejandro G. Iñárritu
nm0329535	R.W. Goodwin
nm0329634	Dan Goor
nm0329910	John Gordillo
nm0330687	Joseph Gordon-Levitt
nm0331166	Tommy Gormley
nm0332467	Peter Gould
nm0332740	Everardo Gout
nm0332892	Stanislav Govorukhin
nm0332950	Ashutosh Gowariker
nm0333060	David S. Goyer
nm0333705	Dominik Graf
nm0334353	William A. Graham
nm0334552	Nikos Grammatikos
nm0335337	Darren Grant
nm0335431	Hal Grant
nm0336241	Alex Graves
nm0336836	Milton Gray
nm0337675	Bruce Seth Green
nm0338576	Rob Greenberg
nm0339111	Rob Greenlea
nm0339264	David Greenwalt
nm0342970	Dave Grohl
nm0343898	Daniel Grou
nm0344955	Matti Grönberg
nm0345743	Tiago Guedes
nm0346550	Davis Guggenheim
nm0347720	Stere Gulea
nm0347728	Melih Gülgen
nm0347899	Gulzar
nm0348410	Michael Gunton
nm0350099	Patricio Guzmán
nm0352032	Kamal Haasan
nm0352778	Bill Hader
nm0353592	Piers Haggard
nm0354024	Charles Haid
nm0354091	Andrew Haigh
nm0355092	Geoffrey Haley
nm0355618	Grady Hall
nm0355910	Michael C. Hall
nm0356042	Robert Hall
nm0357143	Gary Halvorson
nm0359880	Cochin Hanifa
nm0361672	Kazuo Hara
nm0362686	Justin Hardy
nm0362734	Rob Hardy
nm0362738	Rod Hardy
nm0363030	T. Hariharan
nm0366004	Mary Harron
nm0366314	Harvey Hart
nm0367538	Grant Harvey
nm0368602	Matthew Hastings
nm0368688	Ali Hatami
nm0369949	James Hawes
nm0371059	Jamie Uys
nm0371348	James Hayman
nm0372222	Josh Heald
nm0373612	Richard T. Heffron
nm0375068	Mark Helfrich
nm0375973	Ralph Hemecker
nm0376006	Anthony Hemingway
nm0381116	Don Hertzfeldt
nm0382227	Douglas Heyes
nm0383603	Freddie Highmore
nm0385151	Bethany Rooney
nm0386246	Rajkumar Hirani
nm0386706	Leon Hirszman
nm0386780	Norm Hiscock
nm0387596	Jessica Hobbs
nm0387706	Gregory Hoblit
nm0388273	Joel Hodgson
nm0389972	Paul Holahan
nm0390103	Rod Holcomb
nm0390844	Todd Holland
nm0391207	Martin Hollis
nm0391905	Julian Holmes
nm0392237	Nicole Holofcener
nm0394280	Stephen Hopkins
nm0394586	Gwyneth Horder-Payton
nm0394954	Scott Hornbacher
nm0396074	Mamoru Hosoda
nm0398575	Jan Hrebejk
nm0399737	Reginald Hudlin
nm0400071	Manuel Huerga
nm0400441	Allen Hughes
nm0400486	Bronwen Hughes
nm0400850	Patrick Hughes
nm0401563	Hisko Hulsing
nm0402493	Jeffrey G. Hunt
nm0406220	Tim Iacofano
nm0406728	Kon Ichikawa
nm0410139	John Irvin
nm0411259	Morshedul Islam
nm0412350	Stephen Ives
nm0412539	Daiki Iwamoto
nm0412649	Leslie Iwerks
